date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:44:27	117055/117055	---M--	200	added ('OK')	image/jpeg	etag:%221c93f-64b0e200fdabd%22	https://canlis.com/uploads/matt.jpg	./canlis-website/canlis.com/uploads/matt.jpg	(from https://canlis.com/)
09:44:28	461833/461833	---M--	200	added ('OK')	image/jpeg	etag:%2270c09-657b82c834b00%22	https://canlis.com/uploads/anthea1.jpg	./canlis-website/canlis.com/uploads/anthea1.jpg	(from https://canlis.com/)
09:44:29	30017/30017	---M-Z	200	added ('OK')	text/html	etag:%227541-65892b63c0ea0-gzip%22	https://canlis.com/private-events/	./canlis-website/canlis.com/private-events/index.html	(from https://canlis.com/)
09:44:31	305787/305787	---M--	200	added ('OK')	image/jpeg	etag:%224aa7b-64b0e1ff81c60%22	https://canlis.com/uploads/james.jpg	./canlis-website/canlis.com/uploads/james.jpg	(from https://canlis.com/)
09:44:31	30039/30039	---M--	200	added ('OK')	image/svg+xml	etag:%227557-657da7660e953%22	https://canlis.com/uploads/relais2.svg	./canlis-website/canlis.com/uploads/relais2.svg	(from https://canlis.com/)
09:44:32	23590/23590	---M-Z	200	added ('OK')	text/html	etag:%225c26-65892b669f516-gzip%22	https://canlis.com/reservations	./canlis-website/canlis.com/reservations.html	(from https://canlis.com/)
09:44:32	110713/110713	---M--	200	added ('OK')	image/jpeg	etag:%221b079-657c909094d36%22	https://canlis.com/uploads/mocktails.jpg	./canlis-website/canlis.com/uploads/mocktails.jpg	(from https://canlis.com/)
09:44:36	262180/262180	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2240024-5ca2bf77b0206%22	https://canlis.com/uploads/GT-Sectra-Display-Light.eot	./canlis-website/canlis.com/uploads/GT-Sectra-Display-Light.eot	(from https://canlis.com/uploads/master.css?version=08082026175639)
09:44:36	105672/105672	---M--	200	added ('OK')	font/woff	etag:%2219cc8-5ca2bf93207e5%22	https://canlis.com/uploads/GT-Sectra-Display-Light.woff	./canlis-website/canlis.com/uploads/GT-Sectra-Display-Light.woff	(from https://canlis.com/uploads/master.css?version=08082026175639)
09:44:45	347036/347036	---M--	200	added ('OK')	font/ttf	etag:%2254b9c-5ca2bfa327fb4%22	https://canlis.com/uploads/GT-Sectra-Display-Light.ttf	./canlis-website/canlis.com/uploads/GT-Sectra-Display-Light.ttf	(from https://canlis.com/uploads/master.css?version=08082026175639)
09:44:48	115076/115076	---M--	200	added ('OK')	font/woff	etag:%221c184-5ca2bf7a15675%22	https://canlis.com/uploads/GT-Sectra-Display-Light-Italic.woff	./canlis-website/canlis.com/uploads/GT-Sectra-Display-Light-Italic.woff	(from https://canlis.com/uploads/master.css?version=08082026175639)
09:44:49	309482/309482	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224b8ea-5ca2bf99bcdd7%22	https://canlis.com/uploads/GT-Sectra-Display-Light-Italic.eot	./canlis-website/canlis.com/uploads/GT-Sectra-Display-Light-Italic.eot	(from https://canlis.com/uploads/master.css?version=08082026175639)
09:44:55	307624/307624	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224b1a8-5ca2bf7fbca8e%22	https://canlis.com/uploads/GT-Sectra-Book.eot	./canlis-website/canlis.com/uploads/GT-Sectra-Book.eot	(from https://canlis.com/uploads/master.css?version=08082026175639)
09:44:55	380792/380792	---M--	200	added ('OK')	font/ttf	etag:%225cf78-5ca2bf83b34d2%22	https://canlis.com/uploads/GT-Sectra-Display-Light-Italic.ttf	./canlis-website/canlis.com/uploads/GT-Sectra-Display-Light-Italic.ttf	(from https://canlis.com/uploads/master.css?version=08082026175639)
09:44:57	118640/118640	---M--	200	added ('OK')	font/woff	etag:%221cf70-5ca2bf7e63ef7%22	https://canlis.com/uploads/GT-Sectra-Book.woff	./canlis-website/canlis.com/uploads/GT-Sectra-Book.woff	(from https://canlis.com/uploads/master.css?version=08082026175639)
09:44:58	292782/292782	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22477ae-5ca2bf8b1fadd%22	https://canlis.com/uploads/GT-Sectra-Book-Italic.eot	./canlis-website/canlis.com/uploads/GT-Sectra-Book-Italic.eot	(from https://canlis.com/uploads/master.css?version=08082026175639)
09:45:00	117744/117744	---M--	200	added ('OK')	font/woff	etag:%221cbf0-5ca2bf9eb06f4%22	https://canlis.com/uploads/GT-Sectra-Book-Italic.woff	./canlis-website/canlis.com/uploads/GT-Sectra-Book-Italic.woff	(from https://canlis.com/uploads/master.css?version=08082026175639)
09:45:00	396144/396144	---M--	200	added ('OK')	font/ttf	etag:%2260b70-5ca2bf941983e%22	https://canlis.com/uploads/GT-Sectra-Book.ttf	./canlis-website/canlis.com/uploads/GT-Sectra-Book.ttf	(from https://canlis.com/uploads/master.css?version=08082026175639)
09:45:01	16094/16094	---M--	404	error ('Not%20Found')	text/html	etag:%223ede-65892b661b7a1%22	https://canlis.com/uploads/ApercuMono.eot	./canlis-website/canlis.com/uploads/ApercuMono.eot	(from https://canlis.com/uploads/master.css?version=08082026175639)
09:45:01	372452/372452	---M--	200	added ('OK')	font/ttf	etag:%225aee4-5ca2bf812ade4%22	https://canlis.com/uploads/GT-Sectra-Book-Italic.ttf	./canlis-website/canlis.com/uploads/GT-Sectra-Book-Italic.ttf	(from https://canlis.com/uploads/master.css?version=08082026175639)
09:45:02	16094/16094	---M--	404	error ('Not%20Found')	text/html	etag:%223ede-65892b661b7a1%22	https://canlis.com/uploads/ApercuMono.woff2	./canlis-website/canlis.com/uploads/ApercuMono.woff2	(from https://canlis.com/uploads/master.css?version=08082026175639)
09:45:03	5408465/5408465	---M--	200	added ('OK')	video/mp4	etag:%225286d1-657cdf08c9c63%22	https://canlis.com/uploads/sammy.mp4	./canlis-website/canlis.com/uploads/sammy.mp4	(from https://canlis.com/)
09:45:03	16094/16094	---M--	404	error ('Not%20Found')	text/html	etag:%223ede-65892b661b7a1%22	https://canlis.com/uploads/ApercuMono.woff	./canlis-website/canlis.com/uploads/ApercuMono.woff	(from https://canlis.com/uploads/master.css?version=08082026175639)
09:45:04	16094/16094	---M--	404	error ('Not%20Found')	text/html	etag:%223ede-65892b661b7a1%22	https://canlis.com/uploads/ApercuMono.ttf	./canlis-website/canlis.com/uploads/ApercuMono.ttf	(from https://canlis.com/uploads/master.css?version=08082026175639)
